BUS_I,GEOHASH,LAT,LON,NAME,GEN,LOAD,BA,FIPS
2201,9muccv,32.680823,-116.982615,MIGUEL,,0.0,CA,06073
2202,9muccv,32.680823,-116.982615,MIGUEL,,1.41396,CA,06073
2203,9mudw2,32.784153,-117.137829,MISSION,,1.53005,CA,06073
2233,9mudw2,32.784153,-117.137829,MISSION,3.605,0.0,CA,06073
2301,9mvffm,32.856407,-115.56459,IMPRLVLY,,0.0,SW,06025
2302,9mvffm,32.856407,-115.56459,IMPRLVLY,,0.0,SW,06025
2332,9mvffm,32.856407,-115.56459,IMPRLVLY,1.333,0.0,SW,06025
2400,9qj152,33.927377,-116.57522,DEVERS,,0.74161,CA,06065
2401,9qhe90,34.369347,-117.368876,LUGO,,0.75656,CA,06071
2402,9qh3ky,34.008174,-117.564527,MIRALOMA,,0.94418,CA,06071
2403,9qh8k2,33.796667,-117.224444,VALLEY,,0.92491,CA,06065
2404,9qhh0n,34.488498,-118.12147,VINCENT,,0.0,CA,06037
2405,9q5epx,34.317296,-118.495046,SYLMAR S,,0.73433,CA,06037
2406,9q5fq8,34.150436,-118.184526,EAGLROCK,,0.65922,CA,06037
2407,9q5bwz,33.879856,-118.175222,LITEHIPE,,1.61042,CA,06037
2408,9qh18k,34.037233,-118.11012,MESA CAL,,1.55495,CA,06037
2409,9qh3ky,34.008174,-117.564527,MIRALOMA,,1.41333,CA,06071
2410,9q5evq,34.442694,-118.58844,PARDEE,,1.41146,CA,06037
2411,9qhh0n,34.488498,-118.12147,VINCENT,,0.95946,CA,06037
2431,9qhe90,34.369347,-117.368876,LUGO,1.666,0.0,CA,06071
2434,9qhh0n,34.488498,-118.12147,VINCENT,1.489,0.0,CA,06037
2438,9qh18k,34.037233,-118.11012,MESA CAL,23.486,0.0,CA,06037
2439,9qh3ky,34.008174,-117.564527,MIRALOMA,1.666,0.0,CA,06071
2501,9qh0rw,33.828436,-117.79013,SERRANO,,0.0,CA,06059
2502,9qh0rw,33.828436,-117.79013,SERRANO,,2.08784,CA,06059
2503,9mumuf,33.370212,-117.557619,S.ONOFRE,,1.64652,CA,06073
2533,9mumuf,33.370212,-117.557619,S.ONOFRE,1.999,0.0,CA,06073
2600,9qhkxd,34.552197,-117.437004,ADELANTO,,0.0,CA,06071
2601,9q5epc,34.285768,-118.484219,RINALDI,,0.0,CA,06037
2602,9q5f6t,34.176429,-118.360306,STA E,,0.08753,CA,06037
2603,9qhsdk,34.565195,-117.32157,VICTORVL,,0.0,CA,06071
2604,9rpbwn,39.500381,-112.580826,INTERMT,,0.0,BA,49027
2605,9q5cw0,34.015353,-118.204015,STA B1,,0.0,CA,06037
2606,9q5cw0,34.015353,-118.204015,STA B2,,0.0,CA,06037
2607,9qhsdk,34.565195,-117.32157,VICTORVL,,0.0,CA,06071
2608,9q5sgb,34.589863,-118.663274,CASTAIC,,0.08803,CA,06037
2609,9q5fm0,34.146111,-118.255,GLENDAL,,0.12079,CA,06037
2610,9mupsy,33.697565,-117.911364,HAYNES,,0.08899,CA,06059
2611,9q5g0q,34.31131,-118.455696,OLIVE,,0.08803,CA,06037
2612,9q5epc,34.285768,-118.484219,RINALDI,,0.10667,CA,06037
2613,9q5cts,34.037697,-118.230212,RIVER,,0.28772,CA,06037
2614,9q5cw0,34.015353,-118.204015,STA BLD,,0.12315,CA,06037
2615,9q5f6t,34.176429,-118.360306,STA E,,0.71865,CA,06037
2616,9q5cw0,34.015353,-118.204015,STA F,,0.10499,CA,06037
2617,9q5fj1,34.10948,-118.254629,STA G,,0.10847,CA,06037
2618,9q5dy2,34.234263,-118.550256,STA J,,0.7847,CA,06037
2619,9q5epx,34.317296,-118.495046,SYLMARLA,,0.0,CA,06037
2620,9qh8k2,33.796667,-117.224444,VALLEY,,0.18176,CA,06065
2621,9q5cw0,34.015353,-118.204015,STA B,,0.20942,CA,06037
2630,9mupsy,33.697565,-117.911364,HAYNES3G,3.947,0.0,CA,06059
2631,9q5g0q,34.31131,-118.455696,OLIVE,0.52,0.0,CA,06037
2634,9rpbwn,39.500381,-112.580826,INTERM1G,1.618,0.0,BA,49027
2637,9q5epc,34.285768,-118.484219,OWENS G,0.087,0.0,CA,06037
2638,9q5sgb,34.589863,-118.663274,CASTAI4G,0.407,0.0,CA,06037
2901,9qq5wv,35.799967,-115.012448,ELDORADO,,0.0,CA,32003
2902,9q5zqv,35.0525,-118.173889,MOHAVE,,0.0,CA,06029
3101,9q8yyz,37.788555,-122.395045,EMBRCDRD,,0.31358,CA,06075
3102,9q8yqr,37.704337,-122.410274,MARTIN,,0.14572,CA,06081
3103,9q9jb9,37.582985,-122.318546,SANMATEO,,0.38042,CA,06081
3104,9q8yqr,37.704337,-122.410274,MARTIN,,0.28351,CA,06081
3105,9q8yyc,37.75843,-122.398,POTRERO,,0.21537,CA,06075
3133,9q9jb9,37.582985,-122.318546,SANMATEO,0.0621,0.0,CA,06081
3135,9q8yyc,37.75843,-122.398,POTRERO,0.579,0.0,CA,06075
3201,9qc0p1,37.978056,-122.031111,C.COSTA,,0.41718,CA,06013
3202,9q9pk4,37.848161,-122.16088,MORAGA,,0.52894,CA,06013
3203,9q9m24,37.501131,-121.987444,NEWARK,,0.59254,CA,06001
3204,9qc26h,38.037129,-121.897096,PITSBURG,,0.59595,CA,06013
3205,9q9peh,37.905327,-122.208867,SOBRANTE,,0.4922,CA,06013
3234,9qc26h,38.037129,-121.897096,PITSBURG,6.807,0.0,CA,06013
3301,9q97v8,37.222363,-121.746496,METCALF,,0.0,CA,06085
3302,9q9hgh,37.4198065,-122.2042168,JEFFERSN,,0.31638,CA,06081
3303,9q97v8,37.222363,-121.746496,METCALF,,0.56287,CA,06085
3304,9q9hq4,37.322286,-122.0737899,MONTAVIS,,0.48578,CA,06085
3305,9q9jk9,37.494231,-122.138182,RAVENSWD,,0.38969,CA,06081
3333,9q97v8,37.222363,-121.746496,METCALF,1.324,0.0,CA,06085
3401,9qd9xh,36.850535,-119.92442,GREGG,,0.52326,CA,06039
3402,9qe6tq,37.039937,-118.946978,HELMS PP,,0.0,CA,06019
3403,9qdbm8,36.609214,-119.639632,MC CALL,,0.46437,CA,06019
3404,9qd2ds,36.675814,-120.46628,PANOCHE,,0.40037,CA,06019
3405,9qct8r,38.978333,-121.625833,WILSON,,0.42303,CA,06101
3432,9qe6tq,37.039937,-118.946978,HELMS PP,3.746,0.0,CA,06019
3433,9qdbm8,36.609214,-119.639632,MC CALL,2.347,0.0,CA,06019
3501,9qben2,38.497952,-122.761324,FULTON,,0.56251,CA,06097
3531,9qben2,38.497952,-122.761324,FULTON,1.981,0.0,CA,06097
3601,9pr8ne,40.801944,-124.163611,HUMBOLDT,,0.09297,CA,06023
3631,9pr8ne,40.801944,-124.163611,HUMBOLDT,0.306,0.0,CA,06023
3701,9r4bc7,39.527222,-119.821944,SUMMIT,,0.31705,SW,32031
3731,9r4bc7,39.527222,-119.821944,SUMMIT,0.243,0.0,SW,32031
3801,9q603v,35.230747,-120.855104,DIABLO,,0.16406,CA,06079
3802,9q6tde,36.144321,-120.124187,GATES,,0.0,CA,06019
3803,9q713t,35.408481,-119.456003,MIDWAY,,0.0,CA,06029
3804,9q6tde,36.144321,-120.124187,GATES,,0.20182,CA,06019
3805,9q713t,35.408481,-119.456003,MIDWAY,,0.43425,CA,06029
3806,9q613c,35.38543,-120.858669,MORROBAY,,0.25577,CA,06079
3831,9q603v,35.230747,-120.855104,DIABLO1,2.323,0.0,CA,06079
3835,9q713t,35.408481,-119.456003,MIDWAY,3.358,0.0,CA,06029
3836,9q613c,35.38543,-120.858669,MORROBAY,1.497,0.0,CA,06079
3891,9q6tde,36.144321,-120.124187,GATES1,,0.0,CA,06019
3892,9q713t,35.408481,-119.456003,MIDWAY1,,0.0,CA,06029
3893,9q713t,35.408481,-119.456003,MIDWAY2,,0.0,CA,06029
3894,9q713t,35.408481,-119.456003,MIDWAY3,,0.0,CA,06029
3895,9q713t,35.408481,-119.456003,MIDWAY4,,0.0,CA,06029
3896,9q713t,35.408481,-119.456003,MIDWAY5,,0.0,CA,06029
3897,9q713t,35.408481,-119.456003,MIDWAY6,,0.0,CA,06029
3901,9q9fy1,37.054001,-121.022616,LOSBANOS,,0.0,CA,06047
3902,9q92vz,36.737604,-121.732796,MOSSLAND,,0.13769,CA,06053
3903,9q9w99,37.71247,-121.565283,TESLA,,0.19074,CA,06001
3904,9qc63x,38.40437,-121.918134,VACA-DIX,,0.0,CA,06095
3905,9r13pb,39.55548,-121.645379,TABLE MT,,0.0,CA,06007
3906,9r321k,40.808138,-121.936762,ROUND MT,,0.0,CA,06089
3907,9qcbq0,38.01622,-121.015147,BELLOTA,,0.43038,CA,06077
3908,9qcem3,38.547942,-121.407942,BRIGHTON,,0.18687,CA,06067
3909,9qcxqg,39.2617,-121.337,COLGATE,,0.15939,CA,06115
3910,9qcjcp,39.018333,-122.290278,CORTINA,,0.22844,CA,06011
3911,9r1jcf,40.397712,-122.265115,COTWDPGE,,0.20437,CA,06089
3912,9r10zd,39.521944,-122.013889,GLENN,,0.15692,CA,06021
3913,9qcggm,38.657961,-121.137023,GOLDHILL,,0.301,CA,06067
3914,9qbbed,38.070278,-122.538611,IGNACIO,,0.20724,CA,06041
3915,9qbcde,38.249937,-122.583996,LAKEVILE,,0.23085,CA,06097
3916,9r106e,39.435504,-122.23327,LOGAN CR,,0.13977,CA,06021
3917,9q9fy1,37.054001,-121.022616,LOSBANOS,,0.21416,CA,06047
3918,9q92vz,36.737604,-121.732796,MOSSLAND,,0.28954,CA,06053
3919,9r1867,39.435556,-121.538056,PALERMO,,0.17167,CA,06007
3920,9qcts0,38.93608,-121.463992,RIO OSO,,0.15883,CA,06101
3921,9r321k,40.808138,-121.936762,ROUND MT,,0.12692,CA,06089
3922,9r13pb,39.55548,-121.645379,TABLE MT,,0.23181,CA,06007
3923,9q9w99,37.71247,-121.565283,TESLA,,0.35345,CA,06001
3924,9qc63x,38.40437,-121.918134,VACA-DIX,,0.30015,CA,06095
3925,9r1jcf,40.397712,-122.265115,COTWDPGE,,0.0,CA,06089
3926,9qcts0,38.93608,-121.463992,RIO OSO,,0.24421,CA,06101
3931,9r321k,40.808138,-121.936762,ROUND MT,3.442,0.0,CA,06089
3932,9q92vz,36.737604,-121.732796,MOSSLAND,1.426,0.0,CA,06053
3933,9q9w99,37.71247,-121.565283,TESLA,7.934,0.0,CA,06001
4001,9r3wzq,42.004704,-121.318052,MALIN,,0.0,NW,41035
4002,9r9uxw,43.016085,-120.953695,SUMMER L,,0.1545,NW,41037
4003,9rg8bx,43.767338,-118.797842,BURNS,,0.0,NW,41025
4004,9rcvn1,44.481129,-121.01542,GRIZZLY,,0.24818,NW,41031
4005,c245ue,45.677819,-120.733553,JOHN DAY,,0.44455,NW,41055
4006,c21g7y,45.60664,-121.115583,BIG EDDY,,0.0,NW,41065
4007,c21g7u,45.594757,-121.113585,CELILOCA,,0.0,NW,41065
4008,9r3wzq,42.004704,-121.318052,MALIN,,0.26511,NW,41035
4009,c21g7y,45.60664,-121.115583,BIG EDDY,,2.04513,NW,41065
4010,c21g7u,45.594757,-121.113585,CELILO,,0.0,NW,41065
4031,9r3wzq,42.004704,-121.318052,MALIN,4.724,0.0,NW,41035
4035,c245ue,45.677819,-120.733553,JOHN DAY,8.448,0.0,NW,41055
4039,c21g7y,45.60664,-121.115583,DALLES21,4.279,0.0,NW,41065
4090,9r3wzq,42.004704,-121.318052,MALIN1,,0.0,NW,41035
4091,9rcvn1,44.481129,-121.01542,GRIZZLY1,,0.0,NW,41031
4092,9rcvn1,44.481129,-121.01542,GRIZZLY2,,0.0,NW,41031
4093,9rcvn1,44.481129,-121.01542,GRIZZLY3,,0.0,NW,41031
4094,9rcvn1,44.481129,-121.01542,GRIZZLY4,,0.0,NW,41031
4095,9rcvn1,44.481129,-121.01542,GRIZZLY5,,0.0,NW,41031
4096,9rcvn1,44.481129,-121.01542,GRIZZLY6,,0.0,NW,41031
4097,9rcvn1,44.481129,-121.01542,GRIZZLY7,,0.0,NW,41031
4101,c2e2u0,47.947893,-118.996055,COULEE,,0.88212,NW,53025
4102,c26crp,46.669392,-119.573343,HANFORD,,0.43855,NW,53005
4103,c2kx95,47.746353,-117.373738,BELL,,0.0108,NW,53063
4104,c2kx95,47.746353,-117.373738,BELL,,2.42499,NW,53063
4131,c2e2u0,47.947893,-118.996055,COULEE,14.114,0.0,NW,53025
4132,c26crp,46.669392,-119.573343,HANFORD,9.209,0.0,NW,53005
4201,c2967d,48.22276,-121.837459,NORTH,,5.14523,NW,53061
4202,c237sz,47.065363,-121.779859,WCASCADE,,4.30023,NW,53053
4203,9rb6wg,44.051652,-123.091142,WILLAMET,,4.30843,NW,41039
4204,9r88yx,42.358895,-122.760172,MERIDIAN,,0.94963,NW,41029
4231,c2967d,48.22276,-121.837459,NORTH G3,5.947,0.0,NW,53061
4232,c237sz,47.065363,-121.779859,WCASCADE,2.125,0.0,NW,53053
5001,c2c10y,49.429986,-122.303722,CANADA,,7.21338,BC,
5002,c2c10y,49.429986,-122.303722,CANALB,,8.53458,BC,
5003,c2u6xt,49.686968,-117.438199,CA230TO,,0.58926,AB,
5004,c2u6xt,49.686968,-117.438199,CA230,,0.0,AB,
5031,c2c10y,49.429986,-122.303722,CANAD G1,13.397,0.0,BC,
5032,c2c10y,49.429986,-122.303722,CMAIN GM,27.7342,0.0,BC,
6101,9rwgcr,42.888986,-114.199277,MIDPOINT,,0.0,BA,16063
6102,9rwgcr,42.888986,-114.199277,MIDPOINT,,1.02247,BA,16063
6103,9rx7st,42.835449,-113.348619,BORAH,,0.38645,BA,16013
6104,9rx7st,42.835449,-113.348619,BORAH,,1.68365,BA,16013
6132,9rwgcr,42.888986,-114.199277,MIDPOINT,5.303,0.0,BA,16063
6201,c8h5zm,45.689474,-106.552322,COLSTRP,,0.19417,NW,30087
6202,c2r8x7,46.515909,-112.878383,GARRISON,,0.08132,NW,30077
6203,c8h5zm,45.689474,-106.552322,COLSTRP,,0.60924,NW,30087
6204,c2r8x7,46.515909,-112.878383,GARRISON,,0.66755,NW,30077
6205,c82vu4,47.432975,-111.260716,MONTANA,,0.46598,NW,30013
6231,c8h5zm,45.689474,-106.552322,COLSTRP,2.738,0.0,NW,30087
6235,c82vu4,47.432975,-111.260716,MONTA G1,3.617,0.0,NW,30013
6301,9x6z6m,42.083869,-108.529745,BRIDGER,,0.50865,RM,56037
6302,9xkgmv,41.383369,-105.567246,LARAMIE,,0.58842,RM,56001
6303,9x6z6m,42.083869,-108.529745,BRIDGER2,,0.72486,RM,56037
6304,9xkgmv,41.383369,-105.567246,LARAMIE,,0.0,RM,56001
6305,9x3mfn,41.826887,-110.64461,NAUGHTON,,0.05682,BA,56023
6333,9x6z6m,42.083869,-108.529745,BRIDGER,6.083,0.0,RM,56037
6335,9x3mfn,41.826887,-110.64461,NAUGHT,3.381,0.0,BA,56023
6401,9r50xy,39.499336,-119.188176,TRACYSPP,,1.62839,SW,32019
6402,9r4bc7,39.527222,-119.821944,SUMITSPP,,0.27085,SW,32031
6403,9rkf69,41.182805,-116.954457,VALMY,,0.00198,SW,32007
6404,9rn2tf,39.476861,-114.70735,GONDER,,0.0275,SW,32033
6433,9rkf69,41.182805,-116.954457,VALMY,2.663,0.0,SW,32007
6501,9x27ep,41.439081,-112.006907,BENLOMND,,0.19303,BA,49003
6502,9x0mgn,40.423165,-112.008,CAMP WIL,,1.53933,BA,49049
6503,9x47er,40.030278,-109.188333,EMERY,,0.41423,BA,49047
6504,9x06gc,39.868637,-111.977164,MONA,,0.29372,BA,49049
6505,9wdr2q,37.870747,-109.314458,PINTO,,0.00656,BA,49037
6506,9wdr2q,37.870747,-109.314458,PINTO PS,,0.0,BA,49037
6507,9wbmjr,38.887109,-111.917677,SIGURD,,0.52783,BA,49041
6508,9x0gc5,40.053045,-111.394196,SPAN FRK,,0.12899,BA,49049
6509,9x0ryy,40.772832,-111.846293,TERMINAL,,0.00849,BA,49035
6510,9x27ep,41.439081,-112.006907,BENLOMND,,1.97192,BA,49003
6533,9x47er,40.030278,-109.188333,EMERY,8.588,0.0,BA,49047
7001,9wve62,38.542595,-104.660626,COLOEAST,,6.86364,RM,08041
7002,9x5w98,40.521809,-107.506652,CRAIG,,2.51708,RM,08081
7031,9wve62,38.542595,-104.660626,COLOEAST,13.0881,0.0,RM,08041
7032,9x5w98,40.521809,-107.506652,CRAIG,4.714,0.0,RM,08081
8001,9r0vxp,40.382027,-122.384572,OLINDA,,0.0,CA,06089
8002,9q9wtp,37.74752,-121.416448,TRACY,,0.0,CA,06077
8003,9r1jcf,40.397712,-122.265115,COTWDWAP,,0.54642,CA,06089
8004,9qcf5u,38.344823,-121.123005,RNCHSECO,,3.4091,CA,06067
8005,9q9wtp,37.74752,-121.416448,TRACYPMP,,1.21322,CA,06077
8033,9r1jcf,40.397712,-122.265115,COTWDWAP,1.394,0.0,CA,06089
8034,9qcf5u,38.344823,-121.123005,RNCHSECO,4.298,0.0,CA,06067
