State,Year,Population
MI,2015,9931715
MI,2016,9950338
MI,2017,9973114
MI,2018,9986867
MI,2019,9991233
MI,2020,10077331
MI,2021,10037213
MI,2022,10001099
MI,2023,9977826
MI,2024,9961603
MI,2025,9943621
MN,2010,5303925
MN,2011,5346143
MN,2012,5393649
MN,2013,5437894
MN,2014,5482435
MN,2015,5522744
MN,2016,5566371
MN,2017,5616246
MN,2018,5654922
MN,2019,5684631
MN,2020,5706494
MN,2021,5738890
MN,2022,5770851
MN,2023,5806822
MN,2024,5845016
MN,2025,5878486
MS,2010,2967297
MS,2011,2980646
MS,2012,2986345
MS,2013,2989192
MS,2014,2989531
MS,2015,2988257
MS,2016,2987938
MS,2017,2988510
MS,2018,2984926
MS,2019,2978274
MS,2020,2961279
MS,2021,2955554
MS,2022,2950587
MS,2023,2950478
MS,2024,2951733
MS,2025,2952136
MO,2010,5988927
MO,2011,6010275
MO,2012,6043132
MO,2013,6072121
MO,2014,6101166
MO,2015,6126620
MO,2016,6151548
MO,2017,6172605
MO,2018,6191932
MO,2019,6208637
MO,2020,6154913
MO,2021,6171927
MO,2022,6189914
MO,2023,6210459
MO,2024,6234057
MO,2025,6255142
MT,2010,989417
MT,2011,997746
MT,2012,1005141
MT,2013,1014156
MT,2014,1022657
MT,2015,1031495
MT,2016,1041925
MT,2017,1052281
MT,2018,1060665
MT,2019,1068878
MT,2020,1084225
MT,2021,1100431
MT,2022,1117621
MT,2023,1133379
MT,2024,1147570
MT,2025,1160324
NE,2010,1826341
NE,2011,1842364
NE,2012,1855683
NE,2013,1868351
NE,2014,1881503
NE,2015,1896174
NE,2016,1907129
NE,2017,1917631
NE,2018,1926639
NE,2019,1934408
NE,2020,1961504
NE,2021,1965355
NE,2022,1973656
NE,2023,1983946
NE,2024,1994640
NE,2025,2004216
NV,2010,2702405
NV,2011,2732952
NV,2012,2769919
NV,2013,2817628
NV,2014,2866939
NV,2015,2919055
NV,2016,2971566
NV,2017,3030725
NV,2018,3090771
NV,2019,3156803
NV,2020,3104614
NV,2021,3160492
NV,2022,3222543
NV,2023,3284766
NV,2024,3346487
NV,2025,3405786
NH,2010,1316472
NH,2011,1318181
NH,2012,1320843
NH,2013,1324231
NH,2014,1329328
NH,2015,1334257
NH,2016,1337480
NH,2017,1342743
NH,2018,1348824
NH,2019,1356458
NH,2020,1377529
NH,2021,1389551
NH,2022,1402280
NH,2023,1413812
NH,2024,1424683
NH,2025,1434316
NJ,2010,8791953
NJ,2011,8828117
NJ,2012,8844742
NJ,2013,8856972
NJ,2014,8864525
NJ,2015,8867749
NJ,2016,8870827
NJ,2017,8885525
NJ,2018,8886025
NJ,2019,8882190
NJ,2020,9288994
NJ,2021,9266152
NJ,2022,9232180
NJ,2023,9216091
NJ,2024,9203925
NJ,2025,9188849
NM,2010,2059179
NM,2011,2080328
NM,2012,2083784
NM,2013,2085287
NM,2014,2083236
NM,2015,2080328
NM,2016,2080085
NM,2017,2084117
NM,2018,2092741
NM,2019,2096829
NM,2020,2117522
NM,2021,2118331
NM,2022,2116035
NM,2023,2116631
NM,2024,2116892
NM,2025,2117182
NY,2010,19378102
NY,2011,19498241
NY,2012,19574362
NY,2013,19624447
NY,2014,19651049
NY,2015,19654666
NY,2016,19633428
NY,2017,19589572
NY,2018,19530351
NY,2019,19453561
NY,2020,20201249
NY,2021,19920379
NY,2022,19677151
NY,2023,19536859
NY,2024,19412217
NY,2025,19283738
NC,2010,9535483
NC,2011,9657592
NC,2012,9751315
NC,2013,9843336
NC,2014,9932887
NC,2015,10031646
NC,2016,10154788
NC,2017,10268486
NC,2018,10381615
NC,2019,10488084
NC,2020,10439388
NC,2021,10574041
NC,2022,10712214
NC,2023,10850239
NC,2024,10986701
NC,2025,11119642
ND,2010,672591
ND,2011,685225
ND,2012,701176
ND,2013,722034
ND,2014,737401
ND,2015,754066
ND,2016,754435
ND,2017,754942
ND,2018,758080
ND,2019,762062
ND,2020,779094
ND,2021,779069
ND,2022,778096
ND,2023,781358
ND,2024,785865
ND,2025,790036
OH,2010,11536504
OH,2011,11544951
OH,2012,11548369
OH,2013,11566403
OH,2014,11594869
OH,2015,11617527
OH,2016,11634370
OH,2017,11659660
OH,2018,11689442
OH,2019,11693217
OH,2020,11799448
OH,2021,11776562
OH,2022,11756058
OH,2023,11755163
OH,2024,11761621
OH,2025,11767180
OK,2010,3751351
OK,2011,3788243
OK,2012,3818814
OK,2013,3853891
OK,2014,3878564
OK,2015,3909500
OK,2016,3926283
OK,2017,3931327
OK,2018,3940235
OK,2019,3956971
OK,2020,3959353
OK,2021,3985175
OK,2022,4022413
OK,2023,4062083
OK,2024,4101416
OK,2025,4138617
OR,2010,3837208
OR,2011,3872243
OR,2012,3900114
OR,2013,3922336
OR,2014,3963244
OR,2015,4015792
OR,2016,4089976
OR,2017,4143625
OR,2018,4181677
OR,2019,4217737
OR,2020,4237256
OR,2021,4256310
OR,2022,4278411
OR,2023,4297839
OR,2024,4315486
OR,2025,4332210
PA,2010,12702379
PA,2011,12744858
PA,2012,12776309
PA,2013,12792392
PA,2014,12801362
PA,2015,12802503
PA,2016,12804123
PA,2017,12810537
PA,2018,12800922
PA,2019,12807060
PA,2020,13002700
PA,2021,12962171
PA,2022,12932378
PA,2023,12911227
PA,2024,12898492
PA,2025,12885149
RI,2010,1052567
RI,2011,1053661
RI,2012,1053829
RI,2013,1053336
RI,2014,1055670
RI,2015,1056238
RI,2016,1056829
RI,2017,1056138
RI,2018,1058287
RI,2019,1059361
RI,2020,1097379
RI,2021,1095310
RI,2022,1093379
RI,2023,1095163
RI,2024,1097331
RI,2025,1099661
SC,2010,4625364
SC,2011,4671422
SC,2012,4717112
SC,2013,4764839
SC,2014,4823617
SC,2015,4893444
SC,2016,4957968
SC,2017,5021209
SC,2018,5084127
SC,2019,5148714
SC,2020,5118425
SC,2021,5193266
SC,2022,5282634
SC,2023,5373555
SC,2024,5456209
SC,2025,5534839
SD,2010,814180
SD,2011,823579
SD,2012,833566
SD,2013,842316
SD,2014,849129
SD,2015,853988
SD,2016,862908
SD,2017,872864
SD,2018,878153
SD,2019,884659
SD,2020,886667
SD,2021,896174
SD,2022,909381
SD,2023,919369
SD,2024,929624
SD,2025,939462
TN,2010,6346105
TN,2011,6398361
TN,2012,6453898
TN,2013,6495978
TN,2014,6540826
TN,2015,6590781
TN,2016,6648827
TN,2017,6708799
TN,2018,6771631
TN,2019,6829174
TN,2020,6910840
TN,2021,6975218
TN,2022,7051339
TN,2023,7126620
TN,2024,7196429
TN,2025,7261472
TX,2010,25145561
TX,2011,25645629
TX,2012,26084481
TX,2013,26480327
TX,2014,26964341
TX,2015,27469114
TX,2016,27914410
TX,2017,28295283
TX,2018,28624639
TX,2019,28995881
TX,2020,29145505
TX,2021,29527419
TX,2022,30029572
TX,2023,30503301
TX,2024,30931109
TX,2025,31344268
UT,2010,2763885
UT,2011,2814384
UT,2012,2853375
UT,2013,2900872
UT,2014,2942902
UT,2015,2990460
UT,2016,3041146
UT,2017,3101833
UT,2018,3153550
UT,2019,3205958
UT,2020,3205958
UT,2021,3337456
UT,2022,3380800
UT,2023,3417734
UT,2024,3451126
UT,2025,3483921
VT,2010,625741
VT,2011,626320
VT,2012,625982
VT,2013,626781
VT,2014,625539
VT,2015,625216
VT,2016,623657
VT,2017,624344
VT,2018,624358
VT,2019,623989
VT,2020,643077
VT,2021,643015
VT,2022,647064
VT,2023,647161
VT,2024,647366
VT,2025,647228
VA,2010,8001024
VA,2011,8096604
VA,2012,8185131
VA,2013,8253131
VA,2014,8315131
VA,2015,8367303
VA,2016,8411639
VA,2017,8463966
VA,2018,8501287
VA,2019,8535519
VA,2020,8631393
VA,2021,8657365
VA,2022,8683619
VA,2023,8715792
VA,2024,8748369
VA,2025,8778396
WA,2010,6724543
WA,2011,6821655
WA,2012,6897305
WA,2013,6971406
WA,2014,7062468
WA,2015,7169967
WA,2016,7294336
WA,2017,7423362
WA,2018,7523362
WA,2019,7614893
WA,2020,7705281
WA,2021,7785786
WA,2022,7864358
WA,2023,7934629
WA,2024,8005316
WA,2025,8072134
WV,2010,1852996
WV,2011,1854239
WV,2012,1850848
WV,2013,1847419
WV,2014,1839814
WV,2015,1836793
WV,2016,1831102
WV,2017,1817539
WV,2018,1804293
WV,2019,1792147
WV,2020,1793716
WV,2021,1782959
WV,2022,1770281
WV,2023,1756472
WV,2024,1743660
WV,2025,1730104
WI,2010,5686986
WI,2011,5705288
WI,2012,5721095
WI,2013,5738012
WI,2014,5757064
WI,2015,5772958
WI,2016,5790186
WI,2017,5806684
WI,2018,5817293
WI,2019,5822434
WI,2020,5893718
WI,2021,5892539
WI,2022,5895358
WI,2023,5910472
WI,2024,5928369
WI,2025,5944131
WY,2010,563626
WY,2011,564487
WY,2012,567295
WY,2013,576626
WY,2014,582684
WY,2015,586389
WY,2016,584910
WY,2017,579315
WY,2018,579055
WY,2019,578759
WY,2020,576851
WY,2021,578803
WY,2022,581358
WY,2023,584281
WY,2024,586392
WY,2025,588604
